Sample_ID,Feed_Additives,Feed,Replicate,Keep,Mycoplasma
CTRL-T01_F01,No,CTRL,1,Yes,0.855491194
CTRL-T01_F01_2,No,CTRL,2,Yes,0.855491194
CTRL-T01_F04,No,CTRL,1,Yes,0.981658174
CTRL-T01_F04_2,No,CTRL,2,Yes,0.981658174
CTRL-T01_F05,No,CTRL,1,Yes,0.977729009
CTRL-T01_F05_2,No,CTRL,2,Yes,0.977729009
CTRL-T01_F11,No,CTRL,1,Yes,0.950604795
CTRL-T01_F11_2,No,CTRL,2,Yes,0.950604795
CTRL-T01_F15,No,CTRL,1,Yes,0.969125518
CTRL-T01_F15_2,No,CTRL,2,Yes,0.969125518
CTRL-T01_F17,No,CTRL,1,Yes,0.988303962
CTRL-T01_F17_2,No,CTRL,2,Yes,0.988303962
CTRL-T01_F23,No,CTRL,1,Yes,0.874167318
CTRL-T01_F23_2,No,CTRL,2,Yes,0.874167318
CTRL-T01_F26,No,CTRL,1,Yes,0.98157294
CTRL-T01_F26_2,No,CTRL,2,Yes,0.98157294
CTRL-T01_F33,No,CTRL,1,Yes,0.974149074
CTRL-T01_F33_2,No,CTRL,2,Yes,0.974149074
CTRL-T01_F38,No,CTRL,1,Yes,0.95183901
CTRL-T01_F38_2,No,CTRL,2,Yes,0.95183901
PRO-T01_F02,Yes,Probiotics,1,Yes,0.172050125
PRO-T01_F02_2,Yes,Probiotics,2,Yes,0.172050125
PRO-T01_F07,Yes,Probiotics,1,No,NA
PRO-T01_F07_2,Yes,Probiotics,2,No,NA
PRO-T01_F08,Yes,Probiotics,1,Yes,0.01634409
PRO-T01_F08_2,Yes,Probiotics,2,Yes,0.01634409
PRO-T01_F17,Yes,Probiotics,1,Yes,0
PRO-T01_F17_2,Yes,Probiotics,2,Yes,0
PRO-T01_F19,Yes,Probiotics,1,Yes,0.11538986
PRO-T01_F19_2,Yes,Probiotics,2,Yes,0.11538986
PRO-T01_F20,Yes,Probiotics,1,Yes,0.58920927
PRO-T01_F20_2,Yes,Probiotics,2,Yes,0.58920927
PRO-T01_F28,Yes,Probiotics,1,Yes,0.598562216
PRO-T01_F28_2,Yes,Probiotics,2,Yes,0.598562216
PRO-T01_F31,Yes,Probiotics,1,No,NA
PRO-T01_F31_2,Yes,Probiotics,2,No,NA
PRO-T01_F35,Yes,Probiotics,1,Yes,0.02717047
PRO-T01_F35_2,Yes,Probiotics,2,Yes,0.02717047
PRO-T01_F39,Yes,Probiotics,1,No,NA
PRO-T01_F39_2,Yes,Probiotics,2,No,NA
SYN-T01_F01,Yes,Synbiotics,1,Yes,0.739678565
SYN-T01_F01_2,Yes,Synbiotics,2,Yes,0.739678565
SYN-T01_F02,Yes,Synbiotics,1,No,NA
SYN-T01_F02_2,Yes,Synbiotics,2,No,NA
SYN-T01_F09,Yes,Synbiotics,1,Yes,0.083154293
SYN-T01_F09_2,Yes,Synbiotics,2,Yes,0.083154293
SYN-T01_F12,Yes,Synbiotics,1,Yes,0.739551073
SYN-T01_F12_2,Yes,Synbiotics,2,Yes,0.739551073
SYN-T01_F17,Yes,Synbiotics,1,Yes,0.039274563
SYN-T01_F17_2,Yes,Synbiotics,2,Yes,0.039274563
SYN-T01_F22,Yes,Synbiotics,1,Yes,0.160695968
SYN-T01_F22_2,Yes,Synbiotics,2,Yes,0.160695968
SYN-T01_F31,Yes,Synbiotics,1,Yes,0.660205277
SYN-T01_F31_2,Yes,Synbiotics,2,Yes,0.660205277
SYN-T01_F33,Yes,Synbiotics,1,Yes,0.05384234
SYN-T01_F33_2,Yes,Synbiotics,2,Yes,0.05384234
SYN-T01_F35,Yes,Synbiotics,1,Yes,0.017476983
SYN-T01_F35_2,Yes,Synbiotics,2,Yes,0.017476983
SYN-T01_F37,Yes,Synbiotics,1,Yes,0.293784247
SYN-T01_F37_2,Yes,Synbiotics,2,Yes,0.293784247